,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
0,0,1750559049374478,-50,8,3C:6A:D2:84:AD:40,0,55504,2ae0,0,43455c0,
1,1,1750559049384904,-50,128,3C:6A:D2:84:AD:40,0,32512,2ae0,0,43455c0,
2,2,1750559049487239,-52,128,3C:6A:D2:84:AD:40,0,32528,2ae0,0,43455c0,-50.666666666666664
3,3,1750559049589649,-50,128,3C:6A:D2:84:AD:40,0,32544,2ae0,0,43455c0,-50.666666666666664
4,4,1750559049692035,-52,128,3C:6A:D2:84:AD:40,0,32560,2ae0,0,43455c0,-51.333333333333336
5,5,1750559049794446,-52,128,3C:6A:D2:84:AD:40,0,32576,2ae0,0,43455c0,-51.333333333333336
6,6,1750559049896855,-53,128,3C:6A:D2:84:AD:40,0,32592,2ae0,0,43455c0,-52.333333333333336
7,7,1750559049999239,-52,128,3C:6A:D2:84:AD:40,0,32608,2ae0,0,43455c0,-52.333333333333336
8,8,1750559050101878,-54,128,3C:6A:D2:84:AD:40,0,32624,2ae0,0,43455c0,-53.0
9,9,1750559050204288,-57,128,3C:6A:D2:84:AD:40,0,32640,2ae0,0,43455c0,-54.333333333333336
10,10,1750559050306719,-54,128,3C:6A:D2:84:AD:40,0,32656,2ae0,0,43455c0,-55.0
11,11,1750559050408083,-53,128,3C:6A:D2:84:AD:40,0,32672,2ae0,0,43455c0,-54.666666666666664
12,12,1750559050511512,-55,128,3C:6A:D2:84:AD:40,0,32688,2ae0,0,43455c0,-54.0
13,13,1750559050614357,-57,128,3C:6A:D2:84:AD:40,0,32704,2ae0,0,43455c0,-55.0
14,14,1750559050716333,-56,128,3C:6A:D2:84:AD:40,0,32720,2ae0,0,43455c0,-56.0
15,15,1750559050818696,-60,128,3C:6A:D2:84:AD:40,0,32736,2ae0,0,43455c0,-57.666666666666664
16,16,1750559050921084,-58,128,3C:6A:D2:84:AD:40,0,32752,2ae0,0,43455c0,-58.0
17,17,1750559051023457,-55,128,3C:6A:D2:84:AD:40,0,32768,2ae0,0,43455c0,-57.666666666666664
18,18,1750559051127549,-54,128,3C:6A:D2:84:AD:40,0,32784,2ae0,0,43455c0,-55.666666666666664
19,19,1750559051228290,-53,128,3C:6A:D2:84:AD:40,0,32800,2ae0,0,43455c0,-54.0
20,20,1750559051330717,-51,128,3C:6A:D2:84:AD:40,0,32816,2ae0,0,43455c0,-52.666666666666664
21,21,1750559051433091,-52,128,3C:6A:D2:84:AD:40,0,32832,2ae0,0,43455c0,-52.0
22,22,1750559051535477,-50,128,3C:6A:D2:84:AD:40,0,32848,2ae0,0,43455c0,-51.0
23,23,1750559051637849,-51,128,3C:6A:D2:84:AD:40,0,32864,2ae0,0,43455c0,-51.0
24,24,1750559051740285,-49,128,3C:6A:D2:84:AD:40,0,32880,2ae0,0,43455c0,-50.0
25,25,1750559051842875,-50,128,3C:6A:D2:84:AD:40,0,32896,2ae0,0,43455c0,-50.0
26,26,1750559051945096,-54,128,3C:6A:D2:84:AD:40,0,32912,2ae0,0,43455c0,-51.0
27,27,1750559052047513,-50,128,3C:6A:D2:84:AD:40,0,32928,2ae0,0,43455c0,-51.333333333333336
28,28,1750559052149918,-53,128,3C:6A:D2:84:AD:40,0,32944,2ae0,0,43455c0,-52.333333333333336
29,29,1750559052252361,-54,128,3C:6A:D2:84:AD:40,0,32960,2ae0,0,43455c0,-52.333333333333336
