,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
57,57,1750558970433930,-47,128,3C:6A:D2:84:AD:40,0,19856,2ae0,0,43455c0,-47.0
58,58,1750558970536316,-47,128,3C:6A:D2:84:AD:40,0,19872,2ae0,0,43455c0,-47.0
59,59,1750558970626320,-47,8,3C:6A:D2:84:AD:40,0,49088,2ae0,0,43455c0,-47.0
60,60,1750558970638701,-47,128,3C:6A:D2:84:AD:40,0,19888,2ae0,0,43455c0,-47.0
61,61,1750558970741361,-47,128,3C:6A:D2:84:AD:40,0,19904,2ae0,0,43455c0,-47.0
62,62,1750558970801186,-47,8,3C:6A:D2:84:AD:40,0,49104,2ae0,0,43455c0,-47.0
63,63,1750558970843495,-47,128,3C:6A:D2:84:AD:40,0,19920,2ae0,0,43455c0,-47.0
64,64,1750558970945890,-47,128,3C:6A:D2:84:AD:40,0,19936,2ae0,0,43455c0,-47.0
65,65,1750558971047863,-47,128,3C:6A:D2:84:AD:40,0,19952,2ae0,0,43455c0,-47.0
66,66,1750558971150719,-47,128,3C:6A:D2:84:AD:40,0,19968,2ae0,0,43455c0,-47.0
67,67,1750558971253122,-47,128,3C:6A:D2:84:AD:40,0,19984,2ae0,0,43455c0,-47.0
68,68,1750558971355064,-47,128,3C:6A:D2:84:AD:40,0,20000,2ae0,0,43455c0,-47.0
69,69,1750558971456662,-47,128,3C:6A:D2:84:AD:40,0,20016,2ae0,0,43455c0,-47.0
70,70,1750558971560074,-47,128,3C:6A:D2:84:AD:40,0,20032,2ae0,0,43455c0,-47.0
71,71,1750558971662475,-47,128,3C:6A:D2:84:AD:40,0,20048,2ae0,0,43455c0,-47.0
72,72,1750558971764869,-47,128,3C:6A:D2:84:AD:40,0,20064,2ae0,0,43455c0,-47.0
73,73,1750558971867271,-47,128,3C:6A:D2:84:AD:40,0,20080,2ae0,0,43455c0,-47.0
74,74,1750558971969662,-47,128,3C:6A:D2:84:AD:40,0,20096,2ae0,0,43455c0,-47.0
75,75,1750558972072317,-47,128,3C:6A:D2:84:AD:40,0,20112,2ae0,0,43455c0,-47.0
76,76,1750558972174693,-47,128,3C:6A:D2:84:AD:40,0,20128,2ae0,0,43455c0,-47.0
77,77,1750558972277149,-47,128,3C:6A:D2:84:AD:40,0,20144,2ae0,0,43455c0,-47.0
78,78,1750558972379511,-47,128,3C:6A:D2:84:AD:40,0,20160,2ae0,0,43455c0,-47.0
79,79,1750558972481881,-47,128,3C:6A:D2:84:AD:40,0,20176,2ae0,0,43455c0,-47.0
80,80,1750558972584321,-47,128,3C:6A:D2:84:AD:40,0,20192,2ae0,0,43455c0,-47.0
81,81,1750558972686715,-47,128,3C:6A:D2:84:AD:40,0,20208,2ae0,0,43455c0,-47.0
82,82,1750558972789120,-47,128,3C:6A:D2:84:AD:40,0,20224,2ae0,0,43455c0,-47.0
83,83,1750558972891516,-47,128,3C:6A:D2:84:AD:40,0,20240,2ae0,0,43455c0,-47.0
84,84,1750558972993921,-47,128,3C:6A:D2:84:AD:40,0,20256,2ae0,0,43455c0,-47.0
85,85,1750558973096353,-47,128,3C:6A:D2:84:AD:40,0,20272,2ae0,0,43455c0,-47.0
86,86,1750558973198722,-47,128,3C:6A:D2:84:AD:40,0,20288,2ae0,0,43455c0,-47.0
87,87,1750558973301181,-47,128,3C:6A:D2:84:AD:40,0,20304,2ae0,0,43455c0,-47.0
88,88,1750558973403486,-47,128,3C:6A:D2:84:AD:40,0,20320,2ae0,0,43455c0,-47.0
89,89,1750558973505891,-47,128,3C:6A:D2:84:AD:40,0,20336,2ae0,0,43455c0,-47.0
90,90,1750558973524197,-47,8,3C:6A:D2:84:AD:40,0,49120,2ae0,0,43455c0,-47.0
91,91,1750558973608307,-47,128,3C:6A:D2:84:AD:40,0,20352,2ae0,0,43455c0,-47.0
92,92,1750558973710702,-47,128,3C:6A:D2:84:AD:40,0,20368,2ae0,0,43455c0,-47.0
93,93,1750558973813087,-47,128,3C:6A:D2:84:AD:40,0,20384,2ae0,0,43455c0,-47.0
94,94,1750558973915521,-47,128,3C:6A:D2:84:AD:40,0,20400,2ae0,0,43455c0,-47.0
95,95,1750558974017909,-47,128,3C:6A:D2:84:AD:40,0,20416,2ae0,0,43455c0,-47.0
