,frame,timestamp,rssi,frame_control,source_mac,core,seq_num,channel_spec,spatial_stream,chip,rssi_ma
55,55,1750559152912590,-49,128,3C:6A:D2:84:AD:40,0,48848,2ae0,0,43455c0,-50.666666666666664
56,56,1750559153014741,-52,128,3C:6A:D2:84:AD:40,0,48864,2ae0,0,43455c0,-50.666666666666664
57,57,1750559153101512,-50,8,3C:6A:D2:84:AD:40,0,58960,2ae0,0,43455c0,-50.333333333333336
58,58,1750559153117220,-52,128,3C:6A:D2:84:AD:40,0,48880,2ae0,0,43455c0,-51.333333333333336
59,59,1750559153219669,-52,128,3C:6A:D2:84:AD:40,0,48896,2ae0,0,43455c0,-51.333333333333336
60,60,1750559153322084,-53,128,3C:6A:D2:84:AD:40,0,48912,2ae0,0,43455c0,-52.333333333333336
61,61,1750559153366774,-53,8,3C:6A:D2:84:AD:40,0,58976,2ae0,0,43455c0,-52.666666666666664
62,62,1750559153368392,-52,8,3C:6A:D2:84:AD:40,0,58992,2ae0,0,43455c0,-52.666666666666664
63,63,1750559153370590,-51,8,3C:6A:D2:84:AD:40,0,59008,2ae0,0,43455c0,-52.0
64,64,1750559153372155,-51,8,3C:6A:D2:84:AD:40,0,59024,2ae0,0,43455c0,-51.333333333333336
65,65,1750559153424436,-59,128,3C:6A:D2:84:AD:40,0,48928,2ae0,0,43455c0,-53.666666666666664
66,66,1750559153479922,-54,8,3C:6A:D2:84:AD:40,0,59040,2ae0,0,43455c0,-54.666666666666664
67,67,1750559153526876,-57,128,3C:6A:D2:84:AD:40,0,48944,2ae0,0,43455c0,-56.666666666666664
68,68,1750559153629257,-54,128,3C:6A:D2:84:AD:40,0,48960,2ae0,0,43455c0,-55.0
69,69,1750559153731778,-52,128,3C:6A:D2:84:AD:40,0,48976,2ae0,0,43455c0,-54.333333333333336
70,70,1750559153834056,-54,128,3C:6A:D2:84:AD:40,0,48992,2ae0,0,43455c0,-53.333333333333336
71,71,1750559153936536,-58,128,3C:6A:D2:84:AD:40,0,49008,2ae0,0,43455c0,-54.666666666666664
72,72,1750559154038559,-51,128,3C:6A:D2:84:AD:40,0,49024,2ae0,0,43455c0,-54.333333333333336
73,73,1750559154141262,-54,128,3C:6A:D2:84:AD:40,0,49040,2ae0,0,43455c0,-54.333333333333336
74,74,1750559154243635,-52,128,3C:6A:D2:84:AD:40,0,49056,2ae0,0,43455c0,-52.333333333333336
75,75,1750559154346113,-51,128,3C:6A:D2:84:AD:40,0,49072,2ae0,0,43455c0,-52.333333333333336
76,76,1750559154448480,-50,128,3C:6A:D2:84:AD:40,0,49088,2ae0,0,43455c0,-51.0
77,77,1750559154551158,-55,128,3C:6A:D2:84:AD:40,0,49104,2ae0,0,43455c0,-52.0
78,78,1750559154653324,-52,128,3C:6A:D2:84:AD:40,0,49120,2ae0,0,43455c0,-52.333333333333336
79,79,1750559154754599,-54,128,3C:6A:D2:84:AD:40,0,49136,2ae0,0,43455c0,-53.666666666666664
80,80,1750559154858102,-49,128,3C:6A:D2:84:AD:40,0,49152,2ae0,0,43455c0,-51.666666666666664
81,81,1750559154960489,-52,128,3C:6A:D2:84:AD:40,0,49168,2ae0,0,43455c0,-51.666666666666664
82,82,1750559155062905,-50,128,3C:6A:D2:84:AD:40,0,49184,2ae0,0,43455c0,-50.333333333333336
83,83,1750559155165294,-47,128,3C:6A:D2:84:AD:40,0,49200,2ae0,0,43455c0,-49.666666666666664
84,84,1750559155266502,-53,128,3C:6A:D2:84:AD:40,0,49216,2ae0,0,43455c0,-50.0
85,85,1750559155370071,-53,128,3C:6A:D2:84:AD:40,0,49232,2ae0,0,43455c0,-51.0
86,86,1750559155472470,-52,128,3C:6A:D2:84:AD:40,0,49248,2ae0,0,43455c0,-52.666666666666664
87,87,1750559155574881,-51,128,3C:6A:D2:84:AD:40,0,49264,2ae0,0,43455c0,-52.0
88,88,1750559155677283,-51,128,3C:6A:D2:84:AD:40,0,49280,2ae0,0,43455c0,-51.333333333333336
89,89,1750559155779720,-51,128,3C:6A:D2:84:AD:40,0,49296,2ae0,0,43455c0,-51.0
90,90,1750559155882071,-51,128,3C:6A:D2:84:AD:40,0,49312,2ae0,0,43455c0,-51.0
91,91,1750559155986570,-50,128,3C:6A:D2:84:AD:40,0,49328,2ae0,0,43455c0,-50.666666666666664
92,92,1750559156086870,-48,128,3C:6A:D2:84:AD:40,0,49344,2ae0,0,43455c0,-49.666666666666664
93,93,1750559156188544,-49,128,3C:6A:D2:84:AD:40,0,49360,2ae0,0,43455c0,-49.0
94,94,1750559156290781,-49,128,3C:6A:D2:84:AD:40,0,49376,2ae0,0,43455c0,-48.666666666666664
95,95,1750559156393072,-51,128,3C:6A:D2:84:AD:40,0,49392,2ae0,0,43455c0,-49.666666666666664
96,96,1750559156496582,-53,128,3C:6A:D2:84:AD:40,0,49408,2ae0,0,43455c0,-51.0
97,97,1750559156598879,-50,128,3C:6A:D2:84:AD:40,0,49424,2ae0,0,43455c0,-51.333333333333336
98,98,1750559156701364,-51,128,3C:6A:D2:84:AD:40,0,49440,2ae0,0,43455c0,-51.333333333333336
99,99,1750559156802946,-50,128,3C:6A:D2:84:AD:40,0,49456,2ae0,0,43455c0,-50.333333333333336
100,100,1750559156906103,-51,128,3C:6A:D2:84:AD:40,0,49472,2ae0,0,43455c0,-50.666666666666664
101,101,1750559157008640,-53,128,3C:6A:D2:84:AD:40,0,49488,2ae0,0,43455c0,-51.333333333333336
102,102,1750559157110858,-53,128,3C:6A:D2:84:AD:40,0,49504,2ae0,0,43455c0,-52.333333333333336
103,103,1750559157213284,-53,128,3C:6A:D2:84:AD:40,0,49520,2ae0,0,43455c0,-53.0
104,104,1750559157315737,-59,128,3C:6A:D2:84:AD:40,0,49536,2ae0,0,43455c0,-55.0
105,105,1750559157418116,-53,128,3C:6A:D2:84:AD:40,0,49552,2ae0,0,43455c0,-55.0
106,106,1750559157463004,-56,8,3C:6A:D2:84:AD:40,0,59072,2ae0,0,43455c0,-56.0
107,107,1750559157520514,-53,128,3C:6A:D2:84:AD:40,0,49568,2ae0,0,43455c0,-54.0
108,108,1750559157622876,-52,128,3C:6A:D2:84:AD:40,0,49584,2ae0,0,43455c0,-53.666666666666664
109,109,1750559157725324,-53,128,3C:6A:D2:84:AD:40,0,49600,2ae0,0,43455c0,-52.666666666666664
110,110,1750559157827695,-57,128,3C:6A:D2:84:AD:40,0,49616,2ae0,0,43455c0,-54.0
111,111,1750559157929374,-54,128,3C:6A:D2:84:AD:40,0,49632,2ae0,0,43455c0,-54.666666666666664
112,112,1750559158032502,-55,128,3C:6A:D2:84:AD:40,0,49648,2ae0,0,43455c0,-55.333333333333336
113,113,1750559158134859,-55,128,3C:6A:D2:84:AD:40,0,49664,2ae0,0,43455c0,-54.666666666666664
114,114,1750559158237359,-52,128,3C:6A:D2:84:AD:40,0,49680,2ae0,0,43455c0,-54.0
115,115,1750559158339747,-50,128,3C:6A:D2:84:AD:40,0,49696,2ae0,0,43455c0,-52.333333333333336
116,116,1750559158441620,-52,128,3C:6A:D2:84:AD:40,0,49712,2ae0,0,43455c0,-51.333333333333336
117,117,1750559158543537,-50,128,3C:6A:D2:84:AD:40,0,49728,2ae0,0,43455c0,-50.666666666666664
